group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
AEKQMJRJRAHOAP,O=C1[C@@H](Cc2c[nH]cn2)CCc2cc3ccccc3n21,294.1601,41.0,2.0,4.0,3.0,12.5,50.68,0.18181818181818182,3.0,1.0,0.0,0.0,LCSB
AEOCXXJPGCBFJA,c1ccncc1,167.0637,21.0,2.0,1.0,1.0,5.0,38.91,0.2727272727272727,2.0,0.0,1.0,0.0,LCSB
AFAIELJLZYUNPW,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,288.1495,39.0,2.0,3.0,2.0,13.0,75.89,0.13636363636363635,3.0,0.0,0.0,0.0,LCSB
AFYCEAFSNDLKSX,O=c1ccc2ccccc2o1,232.1332,34.0,3.0,2.0,2.0,8.5,33.45,0.17647058823529413,1.0,2.0,0.0,0.0,LCSB
AKNQMEBLVAMSNZ,c1ccc(C2(Cn3cncn3)OCCO2)cc1,300.0301,30.0,3.0,3.0,2.0,8.5,49.17,0.3684210526315789,3.0,2.0,0.0,2.0,LCSB
ALZOLUNSQWINIR,c1ccc2ncccc2c1,222.0316,23.0,1.0,2.0,2.0,8.5,50.190000000000005,0.26666666666666666,1.0,2.0,0.0,1.0,LCSB
AMFGTOFWMRQMEM,c1ccc(-n2cncn2)cc1,314.0723,36.0,7.0,2.0,2.0,8.5,58.4,0.4,3.0,3.0,1.0,0.0,LCSB
AMRQXHFXNZFDCH,c1ccccc1,237.1234,33.0,4.0,1.0,1.0,6.0,67.42999999999999,0.29411764705882354,2.0,3.0,0.0,0.0,LCSB
AQHHHDLHHXJYJD,c1ccc2ccccc2c1,260.1645,40.0,6.0,2.0,2.0,7.5,41.489999999999995,0.15789473684210525,1.0,2.0,0.0,0.0,LCSB
AQSQFWLMFCKKMG,__ACYCLIC__AQSQFWLMFCKKMG,173.1648,32.0,6.0,0.0,0.0,1.0,41.13,0.25,2.0,1.0,0.0,0.0,LCSB
AQYMRQUYPFCXDM,O=C(Nc1ccccc1)c1ccc2ccccc2c1,294.1125,37.0,3.0,3.0,3.0,12.5,58.56,0.18181818181818182,1.0,3.0,0.0,0.0,LCSB
ASOKPJOREAFHNY,c1ccc2[nH]nnc2c1,136.0505,15.0,0.0,2.0,2.0,7.0,50.94,0.4,3.0,1.0,0.0,0.0,LCSB
AUMLVMKWJGCERZ,O=C(NS(=O)(=O)/C=C/c1ccccc1)c1ccccc1,340.0205,33.0,4.0,2.0,2.0,12.0,63.24,0.3181818181818182,1.0,3.0,1.0,2.0,LCSB
AWYOMXWDGWUJHS,c1cncnc1,319.124,43.0,6.0,1.0,1.0,5.0,53.47,0.35,2.0,3.0,1.0,0.0,LCSB
BACYUWVYYTXETD,__ACYCLIC__BACYUWVYYTXETD,272.222,48.0,12.0,0.0,0.0,2.0,57.61000000000001,0.21052631578947367,1.0,3.0,0.0,0.0,LCSB
BBXXLROWFHWFQY,c1cncnc1,210.1601,34.0,5.0,1.0,1.0,4.0,58.040000000000006,0.26666666666666666,3.0,1.0,0.0,0.0,LCSB
BCGWQEUPMDMJNV,c1ccc2c(c1)CCc1ccccc1N2,281.2012,45.0,4.0,3.0,2.0,9.0,6.48,0.09523809523809523,2.0,0.0,0.0,0.0,LCSB
BDNFQGRSKSQXRI,c1ccc(C(O[C@@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1,416.222,60.0,7.0,5.0,3.0,14.0,30.930000000000003,0.12903225806451613,1.0,3.0,0.0,0.0,LCSB
BEOZJBLIRPRMJM,O=C1NCC(c2ccccc2)=Nc2cn[nH]c21,285.1346,37.0,2.0,3.0,2.0,10.5,79.51,0.2857142857142857,4.0,2.0,0.0,0.0,LCSB
BEZZFPOZAYTVHN,O=S(c1ccccc1)c1ccc2[nH]cnc2c1,316.075,35.0,3.0,3.0,3.0,13.0,84.07999999999998,0.3181818181818182,3.0,3.0,1.0,0.0,LCSB
BGEBZHIAGXMEMV,O=c1ccc2cc3ccoc3cc2o1,217.0495,24.0,1.0,3.0,3.0,11.5,52.58,0.25,0.0,4.0,0.0,0.0,LCSB
BGRWYRAHAFMIBJ,__ACYCLIC__BGRWYRAHAFMIBJ,145.1335,26.0,2.0,0.0,0.0,1.0,41.13,0.3,2.0,1.0,0.0,0.0,LCSB
BHAAPTBBJKJZER,c1ccccc1,124.0757,18.0,1.0,1.0,1.0,4.0,35.25,0.2222222222222222,1.0,1.0,0.0,0.0,LCSB
BMLIZLVNXIYGCK,c1ccccc1,199.0633,24.0,1.0,1.0,1.0,5.0,32.34,0.3076923076923077,2.0,1.0,0.0,1.0,LCSB
BOFHKBLZOYVHSI,c1ccccc1,292.0864,37.0,4.0,1.0,1.0,5.0,47.56,0.3333333333333333,1.0,3.0,0.0,1.0,LCSB
BQGRVFPPZJPWPB,c1ccc(CNc2ccccc2)cc1,292.1002,37.0,5.0,2.0,2.0,10.0,57.61,0.25,1.0,3.0,1.0,0.0,LCSB
BQYJATMQXGBDHF,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,406.072,44.0,5.0,4.0,3.0,12.5,58.400000000000006,0.2962962962962963,3.0,3.0,0.0,2.0,LCSB
BWHOZHOGCMHOBV,c1ccccc1,147.0804,21.0,2.0,1.0,1.0,6.0,17.07,0.09090909090909091,0.0,1.0,0.0,0.0,LCSB
BXNANOICGRISHX,O=c1ccc2ccccc2o1,363.0217,38.0,6.0,2.0,2.0,9.5,57.900000000000006,0.36363636363636365,0.0,5.0,1.0,1.0,LCSB
BYYMILHAKOURNM,c1ccccc1,237.0789,29.0,2.0,1.0,1.0,7.0,32.34,0.25,2.0,1.0,0.0,1.0,LCSB
BZKPWHYZMXOIDC,c1nncs1,222.9954,19.0,2.0,1.0,1.0,6.5,115.03999999999999,0.6923076923076923,4.0,3.0,2.0,0.0,LCSB
CABMTIJINOIHOD,O=C1CN=C(c2ccc3ccccc3n2)N1,312.1343,40.0,3.0,3.0,2.0,11.5,91.65,0.2608695652173913,3.0,3.0,0.0,0.0,LCSB
CAWXEEYDBZRFPE,O=c1nc[nH]c(=O)n1C1CCCCC1,253.1659,38.0,2.0,2.0,1.0,7.0,60.13,0.3333333333333333,4.0,2.0,0.0,0.0,LCSB
CBVCZFGXHXORBI,O=C(N[C@@H]1CCc2ccccc21)[C@@H](CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,614.3701,92.0,11.0,5.0,3.0,16.0,118.03000000000002,0.2,5.0,4.0,0.0,0.0,LCSB
CEQFOVLGLXCDCX,c1ccc(N=Nc2ccccc2)cc1,270.1237,35.0,4.0,2.0,2.0,10.0,65.26,0.25,3.0,2.0,0.0,0.0,LCSB
CGSLYBDCEGBZCG,O=[PH](Oc1ccccc1)Oc1ccccc1,363.172,52.0,11.0,2.0,2.0,9.0,44.760000000000005,0.2,0.0,4.0,0.0,0.0,LCSB
CIEXPHRYOLIQQD,O=C(Nc1ccccc1)c1ccco1,302.1387,41.0,4.0,2.0,2.0,9.5,59.75,0.22727272727272727,1.0,4.0,0.0,0.0,LCSB
CIFWZNRJIBNXRE,c1ccc(Nc2ncccn2)cc1,224.1182,30.0,2.0,2.0,2.0,10.0,37.81,0.17647058823529413,3.0,0.0,0.0,0.0,LCSB
CJCSPKMFHVPWAR,c1ccccc1,212.0917,28.0,3.0,1.0,1.0,5.0,103.78000000000002,0.3333333333333333,1.0,4.0,0.0,0.0,LCSB
CJPQIRJHIZUAQP,O=C(Cc1ccccc1)Nc1ccccc1,326.1751,47.0,5.0,2.0,2.0,10.0,46.61,0.16666666666666666,1.0,3.0,0.0,0.0,LCSB
CLKZWXHKFXZIMA,O=C(NCc1cccnc1)Nc1ccccc1,273.0982,32.0,4.0,2.0,2.0,10.0,97.16000000000001,0.35,4.0,3.0,0.0,0.0,LCSB
CMEWLCATCRTSGF,c1ccccc1,151.0866,21.0,2.0,1.0,1.0,5.0,32.67,0.2727272727272727,2.0,1.0,0.0,0.0,LCSB
CNIGFESSDPOCKS,O=C(NCc1ccccc1)c1cccnc1Oc1ccc2c(c1)OCO2,455.1249,52.0,8.0,4.0,3.0,15.0,116.21000000000001,0.30303030303030304,2.0,7.0,0.0,1.0,LCSB
CNKHSLKYRMDDNQ,O=C(NNC(=O)c1ccccc1)c1ccccc1,331.1208,42.0,2.0,2.0,2.0,10.0,49.410000000000004,0.21739130434782608,2.0,2.0,0.0,1.0,LCSB
CNWSQCLBDWYLAN,__ACYCLIC__CNWSQCLBDWYLAN,117.1022,20.0,3.0,0.0,0.0,1.0,55.12,0.375,2.0,1.0,0.0,0.0,LCSB
COYBRKAVBMYYSF,c1ccc2ncccc2c1,336.1361,45.0,8.0,2.0,2.0,8.5,48.42,0.21739130434782608,1.0,3.0,0.0,1.0,LCSB
CPHJEACXPATRSU,__ACYCLIC__CPHJEACXPATRSU,302.3054,60.0,17.0,0.0,0.0,0.0,43.7,0.14285714285714285,1.0,2.0,0.0,0.0,LCSB
CVXBEEMKQHEXEN,c1ccc2ccccc2c1,202.0863,26.0,1.0,2.0,2.0,8.5,38.33,0.2,1.0,2.0,0.0,0.0,LCSB
CXXVJZRGOOIVOD,O=C1OC2(CCN1CC1CCOCC1)CCN(C1CCN(C(=O)c3cncnc3)CC1)CC2,556.3857,89.0,7.0,5.0,1.0,10.0,88.10000000000001,0.225,5.0,4.0,0.0,0.0,LCSB
DBEPLOCGEIEOCV,O=C1C=CC2[C@H]3CCC4CCC[C@H]4[C@@H]3CC[C@H]2N1,373.285,63.0,1.0,4.0,0.0,7.0,58.2,0.14814814814814814,2.0,2.0,0.0,0.0,LCSB
DFPAKSUCGFBDDF,c1ccncc1,123.0553,15.0,1.0,1.0,1.0,5.0,55.980000000000004,0.3333333333333333,2.0,1.0,0.0,0.0,LCSB
DGFTWBUZRHAHTH,c1ccccc1,164.1434,29.0,4.0,1.0,1.0,4.0,26.02,0.08333333333333333,1.0,0.0,0.0,0.0,LCSB
DGFVZQGXKQCQGK,O=C(NCc1ccccc1)c1c[nH]c2cccnc2c1=O,324.1343,41.0,5.0,3.0,3.0,13.5,84.07999999999998,0.25,3.0,3.0,0.0,0.0,LCSB
DIOYAVUHUXAUPX,__ACYCLIC__DIOYAVUHUXAUPX,354.3003,64.0,17.0,0.0,0.0,3.0,57.61000000000001,0.16,1.0,3.0,0.0,0.0,LCSB
DIZKGJLRHOCMTP,c1ccc(Cc2ccccc2)cc1,226.1226,32.0,3.0,2.0,2.0,9.0,29.1,0.11764705882352941,1.0,1.0,0.0,0.0,LCSB
DJDSLBVSSOQSLW,c1ccccc1,279.1591,42.0,8.0,1.0,1.0,6.0,63.6,0.2,0.0,4.0,0.0,0.0,LCSB
DJNZZLZKAXGMMC,O=C1CCN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1,544.2842,74.0,6.0,5.0,2.0,13.0,102.92999999999999,0.3076923076923077,7.0,3.0,0.0,2.0,LCSB
DJRKHTCUXRGYEU,c1ccccc1,194.1539,33.0,6.0,1.0,1.0,4.0,35.25,0.14285714285714285,1.0,1.0,0.0,0.0,LCSB
DMBHHRLKUKUOEG,c1ccc(Nc2ccccc2)cc1,170.0964,24.0,2.0,2.0,2.0,8.0,12.03,0.07692307692307693,1.0,0.0,0.0,0.0,LCSB
DNRJTBAOUJJKDY,c1ccc2c(c1)CCCC2,259.2056,45.0,1.0,2.0,1.0,6.0,17.07,0.05263157894736842,0.0,1.0,0.0,0.0,LCSB
DNTGGZPQPQTDQF,c1ccccc1,204.1383,32.0,3.0,1.0,1.0,6.0,20.310000000000002,0.13333333333333333,1.0,1.0,0.0,0.0,LCSB
DNUAYCRATWAJQE,O=c1cccnn1-c1ccccc1,409.0573,40.0,5.0,2.0,2.0,10.0,70.42,0.4074074074074074,2.0,4.0,0.0,5.0,LCSB
DOIRQSBPFJWKBE,c1ccccc1,279.1591,42.0,8.0,1.0,1.0,6.0,52.60000000000001,0.2,0.0,4.0,0.0,0.0,LCSB
DPWPWRLQFGFJFI,c1ccccc1,160.1121,25.0,3.0,1.0,1.0,6.0,3.24,0.08333333333333333,1.0,0.0,0.0,0.0,LCSB
DSKJPMWIHSOYEA,c1cncnc1,317.1642,45.0,8.0,1.0,1.0,6.0,84.42,0.38095238095238093,4.0,3.0,1.0,0.0,LCSB
DTAPQAJKAFRNJB,c1ccccc1,208.1332,32.0,2.0,1.0,1.0,5.0,38.33,0.2,1.0,2.0,0.0,0.0,LCSB
DUFVKSUJRWYZQP,O=C1NCCS1,284.0538,34.0,6.0,1.0,0.0,3.0,46.61,0.4375,1.0,3.0,2.0,0.0,LCSB
DWFZBUWUXWZWKD,O=c1cc(SCc2ccccc2)cn[nH]1,365.1449,49.0,3.0,2.0,2.0,9.0,34.89,0.20833333333333334,2.0,1.0,1.0,1.0,LCSB
FAOZLTXFLGPHNG,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,377.2123,56.0,1.0,4.0,0.0,8.0,74.6,0.18518518518518517,0.0,4.0,0.0,1.0,LCSB
FBMQNRKSAWNXBT,O=C1c2ccccc2C(=O)c2ccccc21,239.0815,28.0,0.0,3.0,2.0,11.0,86.18,0.2222222222222222,2.0,2.0,0.0,0.0,LCSB
FBOUIAKEJMZPQG,C(=C\n1cncn1)/c1ccccc1,326.0821,38.0,3.0,2.0,2.0,8.5,50.94,0.2857142857142857,3.0,1.0,0.0,2.0,LCSB
FCBQJNCAKZSIAH,O=c1[nH]c2ccc(S(=O)CCN3CCC(Cc4ccccc4)CC3)cc2o1,403.1486,51.0,6.0,4.0,3.0,14.0,66.31,0.25,2.0,3.0,1.0,1.0,LCSB
FFGPTBGBLSHEPO,C1=Cc2ccccc2Nc2ccccc21,237.1022,30.0,0.0,3.0,2.0,11.0,46.330000000000005,0.16666666666666666,2.0,1.0,0.0,0.0,LCSB
FFHQNQNMELQOEF,O=C(Nc1cc(NCc2ccccc2)c2ccccc2n1)c1ccccc1,409.1659,51.0,6.0,4.0,4.0,18.5,87.03999999999999,0.1935483870967742,4.0,2.0,0.0,0.0,LCSB
FFSSWMQPCJRCRV,c1ccc2ncccc2c1,241.977,20.0,1.0,2.0,2.0,8.5,50.19,0.3333333333333333,1.0,2.0,0.0,2.0,LCSB
FIQMHBFVRAXMOP,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,279.0933,35.0,3.0,3.0,3.0,13.0,17.07,0.1,0.0,1.0,0.0,0.0,LCSB
FMKMKBLHMONXJM,c1ccc(-n2cccn2)cc1,174.1026,24.0,1.0,2.0,2.0,7.5,43.84,0.23076923076923078,3.0,0.0,0.0,0.0,LCSB
FNYLWPVRPXGIIP,c1ccc(-c2cnc3ncncc3n2)cc1,254.1149,30.0,1.0,3.0,3.0,11.5,129.62,0.3684210526315789,7.0,0.0,0.0,0.0,LCSB
FOXFZRUHNHCZPX,O=c1cnnc[nH]1,215.0961,28.0,1.0,1.0,1.0,5.0,73.8,0.42857142857142855,4.0,1.0,1.0,0.0,LCSB
FQEBOQLYHASAOY,c1ccc(Oc2ccccc2)cc1,300.0353,31.0,4.0,2.0,2.0,8.0,21.259999999999998,0.2631578947368421,1.0,1.0,0.0,3.0,LCSB
FQKUGOMFVDPBIZ,c1ccc([SiH](Cn2cncn2)c2ccccc2)cc1,316.1076,37.0,4.0,3.0,3.0,11.5,30.71,0.2727272727272727,3.0,0.0,0.0,2.0,LCSB
FQNKTJPBXAZUGC,O=C(c1ccccc1)c1ccccc1,314.1387,42.0,6.0,2.0,2.0,10.0,77.84,0.21739130434782608,1.0,4.0,0.0,0.0,LCSB
FSAVDKDHPDSCTO,c1ccccc1,358.9768,34.0,7.0,1.0,1.0,6.0,44.760000000000005,0.4,0.0,4.0,0.0,3.0,LCSB
FSVJFNAIGNNGKK,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,313.1911,47.0,1.0,4.0,1.0,9.0,40.620000000000005,0.17391304347826086,2.0,2.0,0.0,0.0,LCSB
FTLQSQQQFMZPKO,O=C(c1ccc(C#Cc2ccccc2)o1)N1CCC(c2ccccc2)CC1,403.1816,53.0,3.0,4.0,3.0,15.5,59.47,0.16666666666666666,2.0,2.0,0.0,1.0,LCSB
FULZLIGZKMKICU,c1ccccc1,153.0481,18.0,1.0,1.0,1.0,5.0,38.05,0.3,2.0,0.0,1.0,0.0,LCSB
FUSNMLFNXJSCDI,S=C(Nc1ccccc1)Oc1ccc2ccccc2c1,308.1104,39.0,2.0,3.0,3.0,12.5,12.47,0.13636363636363635,1.0,1.0,1.0,0.0,LCSB
FWQYJOPJMIEKHZ,c1ccccc1,179.1179,27.0,2.0,1.0,1.0,5.0,55.120000000000005,0.23076923076923078,2.0,1.0,0.0,0.0,LCSB
FXKFFTMLFPWYFH,O=C1CCc2ccccc2[C@H]2CCCCN12,433.1792,58.0,5.0,3.0,1.0,10.0,103.78,0.26666666666666666,2.0,5.0,1.0,0.0,LCSB
GCAOVMKRBUCSET,O=C(Nc1cccc2ccoc12)c1ccccc1,378.0658,42.0,3.0,3.0,3.0,12.0,62.47,0.24,1.0,3.0,0.0,2.0,LCSB
GDLIGKIOYRNHDA,c1ccc2c(c1)CCc1ccccc1N2,315.1623,45.0,4.0,3.0,2.0,9.0,6.48,0.13636363636363635,2.0,0.0,0.0,1.0,LCSB
GFNANZIMVAIWHM,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,395.1864,55.0,2.0,4.0,0.0,8.0,115.06000000000002,0.25,0.0,6.0,0.0,1.0,LCSB
GGLIEWRLXDLBBF,c1ccccc1,181.0972,25.0,3.0,1.0,1.0,5.0,64.35,0.3076923076923077,2.0,2.0,0.0,0.0,LCSB
GHOKWGTUZJEAQD,__ACYCLIC__GHOKWGTUZJEAQD,220.1179,32.0,6.0,0.0,0.0,2.0,106.86000000000001,0.4,1.0,5.0,0.0,0.0,LCSB
GJTKAAFWJZWEPS,O=C(NC1CCNCC1)c1cc2ccccc2n1Cc1cc(-c2cccs2)on1,643.1988,79.0,10.0,5.0,4.0,18.0,125.13,0.29545454545454547,4.0,7.0,1.0,1.0,LCSB
GMBRUAIJEFRHFQ,c1ccc(-n2cncn2)cc1,401.9132,30.0,3.0,2.0,2.0,8.5,57.01,0.45454545454545453,3.0,2.0,0.0,5.0,LCSB
GNBHRKFJIUUOQI,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,333.0757,37.0,0.0,5.0,3.0,15.0,75.99000000000001,0.2,0.0,5.0,0.0,0.0,LCSB
GNOIPBMMFNIUFM,__ACYCLIC__GNOIPBMMFNIUFM,180.126,29.0,3.0,0.0,0.0,1.0,26.790000000000006,0.45454545454545453,3.0,1.0,0.0,0.0,LCSB
GOCUAJYOYBLQRH,c1ccc(Oc2ccccn2)cc1,362.0401,35.0,5.0,2.0,2.0,9.0,68.65,0.375,1.0,4.0,0.0,4.0,LCSB
GOJCZVPJCKEBQV,c1ccccc1,337.1646,48.0,10.0,1.0,1.0,7.0,78.9,0.25,0.0,6.0,0.0,0.0,LCSB
GPNAVOJCQIEKQF,c1ccc2scnc2c1,196.0175,18.0,1.0,2.0,2.0,8.0,82.04999999999998,0.46153846153846156,3.0,2.0,1.0,0.0,LCSB
GPXLRLUVLMHHIK,O=C(Nc1ccccc1)Nc1ccncc1,248.0585,27.0,2.0,2.0,2.0,9.0,54.02,0.29411764705882354,3.0,1.0,0.0,1.0,LCSB
GVDRRZOORHCTAN,O=C(N[C@H](CC(=O)N1CCCC1)Cc1ccccc1)c1cc2ccccc2[nH]1,458.1477,56.0,6.0,4.0,3.0,14.0,125.89,0.28125,3.0,5.0,0.0,1.0,LCSB
GWLFIMOOGVXSMZ,O=c1c2ccccc2sc2ccccc12,414.1846,56.0,10.0,3.0,3.0,13.0,70.67,0.2413793103448276,3.0,3.0,1.0,0.0,LCSB
GYSSRZJIHXQEHQ,O=C(Nc1ccccc1)C1=COCCS1,236.074,29.0,2.0,2.0,1.0,7.0,38.33,0.25,1.0,2.0,1.0,0.0,LCSB
GZGZVOLBULPDFD,c1ccccc1,198.0873,25.0,4.0,1.0,1.0,5.0,101.41999999999999,0.42857142857142855,3.0,3.0,0.0,0.0,LCSB
GZUITABIAKMVPG,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,474.1734,61.0,7.0,5.0,4.0,17.0,70.0,0.17647058823529413,1.0,4.0,1.0,0.0,LCSB
GZVHEAJQGPRDLQ,c1ccc(-c2ncncn2)cc1,188.0931,23.0,1.0,2.0,2.0,8.0,90.71,0.35714285714285715,5.0,0.0,0.0,0.0,LCSB
HAORKNGNJCEJBX,c1ccc(Nc2nccc(C3CC3)n2)cc1,226.1339,32.0,3.0,3.0,2.0,9.0,37.81,0.17647058823529413,3.0,0.0,0.0,0.0,LCSB
HBBVCKCCQCQCTJ,c1ccc(OCCCOc2ccccc2)cc1,403.1751,55.0,12.0,2.0,2.0,10.0,102.29,0.2413793103448276,0.0,7.0,0.0,0.0,LCSB
HBPDKDSFLXWOAE,c1nncs1,229.1118,31.0,1.0,1.0,1.0,4.5,58.120000000000005,0.4,4.0,1.0,1.0,0.0,LCSB
HDHLIWCXDDZUFH,c1ncnc(NC2CC2)n1,254.1434,36.0,4.0,2.0,1.0,5.0,62.730000000000004,0.35294117647058826,5.0,0.0,1.0,0.0,LCSB
HEZNVIYQEUHLNI,c1ccccc1,226.0896,30.0,4.0,1.0,1.0,5.0,38.33,0.26666666666666666,1.0,2.0,1.0,0.0,LCSB
HFCYZXMHUIHAQI,O=C(Nc1ccccc1)Nc1cnns1,221.0492,23.0,2.0,2.0,2.0,8.5,66.91,0.4,4.0,1.0,1.0,0.0,LCSB
HGBGXSPIBLZGHS,c1ccc([C@@H]2CCCc3ccccc32)cc1,385.0539,42.0,3.0,3.0,2.0,11.0,72.19,0.2916666666666667,2.0,2.0,1.0,2.0,LCSB
HKPHPIREJKHECO,c1ccccc1,312.1725,47.0,9.0,1.0,1.0,5.0,29.54,0.19047619047619047,1.0,2.0,0.0,1.0,LCSB
HKQYGTCOTHHOMP,O=c1c(-c2ccccc2)coc2ccccc12,269.0808,32.0,2.0,3.0,3.0,12.5,59.67,0.2,0.0,4.0,0.0,0.0,LCSB
HMXDWDSNPRNUKI,O=C(NN1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,521.0505,54.0,5.0,4.0,3.0,13.5,50.160000000000004,0.25806451612903225,4.0,1.0,0.0,3.0,LCSB
HOMGKSMUEGBAAB,O=[PH]1NCCCO1,261.0321,29.0,5.0,1.0,0.0,2.0,41.57,0.5,2.0,2.0,0.0,2.0,LCSB
HSHNITRMYYLLCV,O=c1ccc2ccccc2o1,177.0546,21.0,0.0,2.0,2.0,8.5,50.44,0.23076923076923078,0.0,3.0,0.0,0.0,LCSB
HSMVPDGQOIQYSR,C(=Nc1ccccc1)n1ccnc1,346.0929,38.0,5.0,2.0,2.0,8.5,39.41,0.34782608695652173,3.0,1.0,0.0,4.0,LCSB
HWVNEWGKWRGSRK,c1ccc(SCc2cnc(-c3ccccc3)s2)cc1,472.0659,48.0,7.0,3.0,3.0,12.5,59.42,0.3225806451612903,1.0,3.0,2.0,4.0,LCSB
HXHWSAZORRCQMX,c1ccc2[nH]cnc2c1,266.0958,33.0,4.0,2.0,2.0,8.0,67.01,0.3333333333333333,3.0,2.0,1.0,0.0,LCSB
HXTGXYRHXAGCFP,c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,374.2126,55.0,7.0,3.0,2.0,9.0,41.93,0.18518518518518517,1.0,3.0,0.0,1.0,LCSB
HYAFETHFCAUJAY,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,357.1267,45.0,7.0,3.0,2.0,11.0,68.28999999999999,0.24,2.0,3.0,1.0,0.0,LCSB
HYYBABOKPJLUIN,c1ccc(Nc2ccccc2)cc1,242.1176,33.0,3.0,2.0,2.0,9.0,49.33,0.16666666666666666,1.0,2.0,0.0,0.0,LCSB
HZJKXKUJVSEEFU,c1ccc(CCn2cncn2)cc1,289.1215,37.0,6.0,2.0,2.0,9.5,54.5,0.25,4.0,0.0,0.0,1.0,LCSB
IAJNXBNRYMEYAZ,C=C(c1ccccc1)c1ccccc1,278.1176,36.0,4.0,2.0,2.0,12.0,50.09,0.14285714285714285,1.0,2.0,0.0,0.0,LCSB
IAKHMKGGTNLKSZ,O=c1cccc2c(c1)CCCc1ccccc1-2,400.1755,54.0,5.0,3.0,2.0,11.5,83.09,0.2413793103448276,1.0,6.0,0.0,0.0,LCSB
IANUJLZYFUDJIH,O=C(COc1nncs1)Nc1ccccc1,364.0737,37.0,5.0,2.0,2.0,8.5,55.32000000000001,0.4166666666666667,3.0,2.0,1.0,4.0,LCSB
IBXPYPUJPLLOIN,c1c[nH]cn1,142.0611,17.0,1.0,1.0,1.0,4.5,60.96,0.5,3.0,2.0,0.0,0.0,LCSB
ICFJFFQQTFMIBG,c1ccccc1,206.14,30.0,3.0,1.0,1.0,6.0,97.78,0.3333333333333333,5.0,0.0,0.0,0.0,LCSB
IIBYAHWJQTYFKB,O=C(NCCc1ccccc1)c1ccccc1,362.1154,45.0,7.0,2.0,2.0,10.0,75.63,0.24,1.0,4.0,0.0,1.0,LCSB
IITCWRFYJWUUPC,c1ccncc1,252.123,35.0,6.0,1.0,1.0,6.0,65.49,0.2777777777777778,1.0,4.0,0.0,0.0,LCSB
IKVXBIIHQGXQRQ,O=C(Nc1ccccc1)c1ccccc1,364.111,44.0,5.0,2.0,2.0,10.0,46.61,0.24,1.0,3.0,0.0,2.0,LCSB
ILBONRFSLATCRE,N=C1SCCS1,256.0225,28.0,5.0,1.0,0.0,3.0,47.89,0.5,1.0,3.0,2.0,0.0,LCSB
IMTMBDXEKMXETQ,c1ccccc1,268.0928,32.0,7.0,1.0,1.0,7.0,135.56,0.42105263157894735,3.0,5.0,0.0,0.0,LCSB
IOUNQDKNJZEDEP,O=c1[nH]c2ccccc2o1,367.9941,36.0,7.0,2.0,2.0,9.0,53.6,0.42857142857142855,1.0,4.0,2.0,1.0,LCSB
IPEHSCPRVOWQFQ,O=S(=O)(NC1CCCCC1)c1ccccc1,269.1318,38.0,3.0,2.0,1.0,7.0,63.400000000000006,0.2777777777777778,2.0,2.0,1.0,0.0,LCSB
IPKKHRVROFYTEK,c1ccccc1,307.1904,48.0,10.0,1.0,1.0,6.0,52.60000000000001,0.18181818181818182,0.0,4.0,0.0,0.0,LCSB
IRGFNBRYIWLUOO,O=C(/C=C/c1ccccc1)NC1CCC(CCN2CCc3ccc(-c4ncon4)cc3CC2)CC1,503.2817,72.0,7.0,5.0,3.0,15.5,71.26,0.1891891891891892,4.0,2.0,0.0,1.0,LCSB
IRIAEXORFWYRCZ,O=C(OCc1ccccc1)c1ccccc1,313.1434,43.0,7.0,2.0,2.0,10.0,52.60000000000001,0.17391304347826086,0.0,4.0,0.0,0.0,LCSB
IRJQWZWMQCVOLA,O=C(NN=Cc1ccccn1)Nc1ccccc1,335.095,36.0,4.0,2.0,2.0,11.0,103.68,0.375,4.0,3.0,0.0,2.0,LCSB
ISRUGXGCCGIOQO,c1ccccc1,210.1125,30.0,3.0,1.0,1.0,5.0,47.56,0.26666666666666666,1.0,3.0,0.0,0.0,LCSB
IUHMIOAKWHUFKU,c1ccc([C@H]2C[C@@H](c3ccc4c(c3)OCO4)c3cccnc32)cc1,532.233,72.0,10.0,5.0,3.0,16.0,115.18,0.20512820512820512,1.0,7.0,0.0,0.0,LCSB
