key,scaffold_group,parent_formula,parent_charge,mh_mz,compound_name,n_records,ce_values,n_distinct_ce,ce_units,any_record_in_2023_11,all_records_in_2023_11,recorded_charged,recorded_block1s,date_published,in_msg15_any_route,in_msg15_simchallenge,in_muru_registry,in_muru_exposed_union,in_muru_exposed_populations,in_muru_dev,in_pr7,in_comparator,in_msnlib_9lib,sg_in_msg15,sg_in_muru_registry,sg_in_muru_dev,sg_in_pr7,sg_in_comparator,in_range_70_1042_6,charge_neutral_parent,msg_qtof_rows,msg_qtof_ladder_ce,msg_qtof_max_ce,msg_folds,hidden_msg_candidate_strong,hidden_msg_candidate_any_same_formula
AACVULYSNJAKEQ,O=c1cc[nH]c2ccsc12,C7H5NOS,0,152.01646124681199,"Thieno[3,2-b]pyridin-7-ol",16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AACVULYSNJAKEQ,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,13.0,13.0,140.0,train,False,False
AAEVYOVXGOFMJO,c1ncncn1,C10H19N5S,0,242.14339307481197,Prometryn,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AAEVYOVXGOFMJO,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,5.0,4.0,40.0,train,False,False
AAKJLRGGTJKAMG,c1ccc(Nc2ncnc3ccccc23)cc1,C22H23N3O4,0,394.17613268281195,Erlotinib,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AAKJLRGGTJKAMG,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,19.0,16.0,150.0,train,False,False
AAOVKJBEBIDNHE,O=C1CN=C(c2ccccc2)c2ccccc2N1,C16H13ClN2O,0,285.07891718281206,Diazepam,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AAOVKJBEBIDNHE,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,27.0,23.0,150.0,train,False,False
ABDMBNAKYBUEEX,C1CC2CCC(C1)N2,C11H19NO3,0,214.14376993481198,Ecgonine ethyl ester,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ABDMBNAKYBUEEX,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,10.0,10.0,110.0,train,False,False
ACQVQJHUIZBTTB,c1ccccc1,C8H10N2O2,0,167.08150402681198,Methyl-N-(3-aminophenyl)carbamate,9,10;20;30;40;50;60;70;80,8,V,True,True,False,ACQVQJHUIZBTTB,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,2.0,2.0,20.0,train,False,False
ACTOXUHEUCPTEW,O=C1CCCC(OC2CCC(OC3CCCCO3)CO2)CCCC(OC2CCCCO2)C=CC=CCCO1,C43H74N2O14,0,843.5212815148119,Spiramycin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ACTOXUHEUCPTEW,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,6.0,6.0,70.0,train,False,False
ACWBQPMHZXGDFX,c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,C24H29N5O3,0,436.2343162548121,Valsartan,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ACWBQPMHZXGDFX,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,46.0,39.0,150.0,train,False,False
ADEBPBSSDYVVLD,O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,C24H29NO3,0,380.222020254812,Donepezil,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ADEBPBSSDYVVLD,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,5.0,2.0,35.0,train,False,False
ADFXKUOMJKEIND,O=C(NC1CCCCC1)NC1CCCCC1,C13H24N2O,0,225.19613985481197,"1,3-Dicyclohexylurea",16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ADFXKUOMJKEIND,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,11.0,8.0,90.0,train,False,False
ADIMAYPTOBDMTL,O=C1CN=C(c2ccccc2)c2ccccc2N1,C15H11ClN2O2,0,287.05818173881204,Oxazepam,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ADIMAYPTOBDMTL,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,28.0,26.0,150.0,train,False,False
AGOYDEPGAOXOCK,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,C38H69NO13,0,748.484167734812,Clarithromycin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AGOYDEPGAOXOCK,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,36.0,25.0,150.0,test,False,False
AGPKZVBTJJNPAG,__ACYCLIC__AGPKZVBTJJNPAG,C6H13NO2,0,132.10190512281198,L-Isoleucine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AGPKZVBTJJNPAG,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,24.0,16.0,40.0,train,False,False
AGSLYHYWLYGAOU,c1ccc(Cc2ccccc2)cc1,C16H19NO,0,242.15394069481198,N-desmethyl-diphenhydramine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AGSLYHYWLYGAOU,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,15.0,15.0,140.0,train,False,False
AGVKXDPPPSLISR,C1CCCCC1,C8H17N,0,128.143376010812,N-Ethylcyclohexylamine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AGVKXDPPPSLISR,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,16.0,16.0,150.0,train,False,False
AHOUBRCZNHFOSL,c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,C19H20FNO3,0,330.14999818681196,Paroxetine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AHOUBRCZNHFOSL,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,30.0,23.0,150.0,train,False,False
AJPOOWWMZOPUCG,O=c1cccc[nH]1,C6H3ClF3NO,0,197.99280252281198,3-Chloro-5-(trifluoromethyl)pyridin-2-ol,1,40,1,V,True,True,False,AJPOOWWMZOPUCG,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,1.0,1.0,40.0,train,False,False
AJRJPORIQGYFMT,C=C1NCCC1(c1ccccc1)c1ccccc1,C20H23N,0,278.190326202812,"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine",1,35,1,V,True,True,False,AJRJPORIQGYFMT,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,11.0,10.0,50.0,train,False,False
AKTGKEBIBGSCLD,O=[PH](c1ccccc1)c1ccccc1,C14H15OP,0,231.09332819681197,Ethyldiphenylphosphine oxide,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AKTGKEBIBGSCLD,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,13.0,13.0,130.0,train,False,False
ALZOLUNSQWINIR,c1ccc2ncccc2c1,C11H8ClNO2,0,222.03163264281199,Quinmerac,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ALZOLUNSQWINIR,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,29.0,26.0,150.0,train,False,False
AMSPWOYQQAWRRM,O=C(c1ccccc1)c1ccccc1,C19H21BrO5,0,409.06451233881194,Metrafenone,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AMSPWOYQQAWRRM,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,7.0,6.0,60.0,train,False,False
ANVREEJNGJMLOV,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,C27H33O4P,0,453.218922632812,Tris(4-isopropylphenyl) phosphate,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ANVREEJNGJMLOV,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,15.0,15.0,150.0,train,False,False
AOJJSUZBOXZQNB,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,C27H29NO11,0,544.1813372148118,Doxorubicin,32,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AOJJSUZBOXZQNB,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,56.0,41.0,150.0,val,False,False
AOWQKFDVSZMKPA,O=C(CCCc1ccccc1)N1CCn2cnnc2C1,C16H15F6N5O4S,0,488.082170746812,Sitagliptin-N-sulfate,15,20;30;40;50;60;70;80;90;100;110;120;130;140;150,14,V,True,True,False,AOWQKFDVSZMKPA,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,15.0,15.0,150.0,test,False,False
APCNUVQAZQVSLQ,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C25H21ClP+,1,388.11366786890204,(4-Chlorobenzyl)-triphenylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,APCNUVQAZQVSLQ,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
APJYDQYYACXCRM,c1ccc2[nH]ccc2c1,C10H12N2,0,161.10732485081198,Tryptamine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,APJYDQYYACXCRM,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,12.0,6.0,50.0,train,False,False
AQHHHDLHHXJYJD,c1ccc2ccccc2c1,C16H21NO2,0,260.164505378812,Propranolol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AQHHHDLHHXJYJD,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,30.0,26.0,110.0,train,False,False
ASLWPAWFJZFCKF,__ACYCLIC__ASLWPAWFJZFCKF,C9H15Cl6O4P,0,428.891188136812,"Tris(1,3-dichloro-2-propyl) phosphate",17,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ASLWPAWFJZFCKF,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,15.0,15.0,130.0,train,False,False
ASMQGLCHMVWBQR,O=[PH](Oc1ccccc1)Oc1ccccc1,C12H11O4P,0,251.04677192881198,Diphenyl phosphate,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ASMQGLCHMVWBQR,2025-01-17,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,19.0,17.0,150.0,train,False,False
ASOKPJOREAFHNY,c1ccc2[nH]nnc2c1,C6H5N3O,0,136.05053824681198,1-Hydroxybenzotriazol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ASOKPJOREAFHNY,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,17.0,17.0,40.0,train,False,False
ASUOLLHGALPRFK,O=[PH](c1ccccc1)c1ccccc1,C12H11OP,0,203.06202806881197,Diphenylphosphine oxide,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ASUOLLHGALPRFK,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,13.0,11.0,40.0,train,False,False
ASWBNKHCZGQVJV,__ACYCLIC__ASWBNKHCZGQVJV,C24H50NO7P,0,496.3397660368119,1-Hexadecanoyl-sn-glycero-3-phosphocholine,15,10;20;30;40;50;60;70;80;90;100;110;120;130;150,14,V,True,True,False,ASWBNKHCZGQVJV,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,33.0,19.0,150.0,train,False,False
ASWVTGNCAZCNNR,O=S(=O)(Nc1ncccn1)c1ccccc1,C12H14N4O2S,0,279.091023154812,Sulfamethazine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ASWVTGNCAZCNNR,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,21.0,13.0,50.0,train,False,False
ATPFRGQBOVFFQM,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,C25H38O6,0,435.2741154028119,6`-Hydroxymethyl Simvastatin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ATPFRGQBOVFFQM,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,14.0,14.0,130.0,train,False,False
ATROHALUCMTWTB,c1ccccc1,C12H15N2O3PS,0,299.061376436812,Phoxim,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,ATROHALUCMTWTB,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,17.0,16.0,150.0,train,False,False
AVKUERGKIZMTKX,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,C16H19N3O4S,0,350.116903554812,Ampicillin,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AVKUERGKIZMTKX,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,38.0,29.0,140.0,train,False,False
AVWWVJUMXRXPNF,c1ccc(C[NH2+]CCOc2ccccc2)cc1,C17H22NO+,1,257.176867210902,Bephenium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,AVWWVJUMXRXPNF,2025-01-17,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,,,,,False,False
AXCXHFKZHDEKTP,c1ccccc1,C10H10O2,0,163.075356026812,4-Methoxycinnamaldehyde,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AXCXHFKZHDEKTP,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,14.0,14.0,150.0,train,False,False
AYDBLCSLKNTEJL,O=C(OC1CC2CCC(C1)N2)c1ccccc1,C16H19NO4,0,290.138684554812,Norcocaine,1,40,1,V,True,True,False,AYDBLCSLKNTEJL,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,1.0,1.0,40.0,train,False,False
AYIRNRDRBQJXIF,c1ccccc1,C12H14Cl2FNO4S,0,358.007738974812,Florfenicol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,AYIRNRDRBQJXIF,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,16.0,14.0,130.0,train,False,False
AYXYPKUFHZROOJ,__ACYCLIC__AYXYPKUFHZROOJ,C8H17NO2,0,160.13320525081198,Pregabalin,10,10;20;30;40;50;60;70;80;90,9,V,True,True,False,AYXYPKUFHZROOJ,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,11.0,11.0,30.0,train,False,False
AZFQCTBZOPUVOW,c1ccc([PH+](c2ccccc2)c2ccccc2)cc1,C19H18P+,1,278.121340092902,Methyltriphenylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,AZFQCTBZOPUVOW,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
BAHPQISAXRFLCL,c1ccccc1,C7H10N2O,0,139.08658940681198,"2,4-Diaminoanisole",14,10;20;30;40;50;60;70;80;90;100;110;120;130,13,V,False,False,False,BAHPQISAXRFLCL,2025-01-17,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,,,,,False,False
BAQAVOSOZGMPRM,C1CCC(OC2CCCO2)OC1,C12H19Cl3O8,0,397.02182707481194,Sucralose,1,40,1,V,True,True,False,BAQAVOSOZGMPRM,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,6.0,6.0,40.0,train,False,False
BATAOFZEDHPRTM,O=c1c2ccccc2[nH]c2ccccc12,C14H9NO3,0,240.065519614812,4-Carboxy-9-acridanone,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BATAOFZEDHPRTM,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,15.0,15.0,140.0,train,False,False
BATVZJPOLFSGTD,c1ccc(N=Nc2ccccc2)cc1,C22H31N3O2,0,370.24890369881206,Solvent Yellow 124,9,10;20;30;40;50;60;70;80,8,V,True,True,False,BATVZJPOLFSGTD,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,9.0,9.0,80.0,train,False,False
BAWFJGJZGIEFAR,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,C21H27N7O14P2,0,664.1163982708118,Nadide,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BAWFJGJZGIEFAR,2025-01-17,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,20.0,15.0,150.0,test,False,False
BAZVSMNPJJMILC,c1ccc(OCn2cncn2)cc1,C14H18ClN3O2,0,296.116030962812,Triadimenol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BAZVSMNPJJMILC,2025-01-17,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,18.0,16.0,150.0,train,False,False
BBUVNFZPAAVCSX,C1CCCCC1,C9H18N2O,0,171.14918966281198,1-Cyclohexyl-3-ethylurea,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BBUVNFZPAAVCSX,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,14.0,14.0,150.0,train,False,False
BBZBYWMNNPPFKA,O=C1CC2(CCCCC2)C(=O)N1,C9H13NO2,0,168.10190512281198,"2-Azaspiro[4.5]decane-1,3-dione",15,10;20;30;40;50;60;70;80;90;100;110;120;130;140,14,V,True,True,False,BBZBYWMNNPPFKA,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,4.0,4.0,110.0,train,False,False
BCWWDWHFBMPLFQ,O=C1CCC2C1CCC1c3ccccc3CCC12,C19H24O2,0,285.184906474812,Estrone 3-methyl ether,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BCWWDWHFBMPLFQ,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,16.0,15.0,140.0,train,False,False
BDBCCQWLFKVQRT,c1ccc([PH+](c2ccccc2)c2ccccc2)cc1,C22H22O2P+,1,350.142469460902,(Ethoxycarbonylmethyl)triphenylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,BDBCCQWLFKVQRT,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
BDTUDUVSLLJWQK,c1ccccc1,C27H48NO2+,1,419.375232662902,Benzyl-(1-hexyloxycarbonyl-undecyl)-dimethyl-ammonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,BDTUDUVSLLJWQK,2025-01-17,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,,,,,False,False
BEVHTMLFDWFAQF,c1ccc([PH+](c2ccccc2)c2ccccc2)cc1,C22H24P+,1,320.168290284902,Butyl-triphenylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,BEVHTMLFDWFAQF,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
BEZZFPOZAYTVHN,O=S(c1ccccc1)c1ccc2nc[nH]c2c1,C15H13N3O3S,0,316.07503874281207,Oxfendazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BEZZFPOZAYTVHN,2025-01-17,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,True,25.0,24.0,130.0,train,False,False
BFZHCUBIASXHPK,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,C21H30O3,0,331.226771286812,11alpha-Hydroxyprogesterone,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BFZHCUBIASXHPK,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,11.0,10.0,90.0,train,False,False
BGNGWHSBYQYVRX,c1ccccc1,C9H11NO,0,150.09134043881198,4-(Dimethylamino)benzaldehyde,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BGNGWHSBYQYVRX,2025-01-17,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,15.0,15.0,140.0,train,False,False
BGRJTUBHPOOWDU,O=C(NCC1CCCN1)c1ccccc1,C15H23N3O4S,0,342.14820368281204,Sulpiride,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BGRJTUBHPOOWDU,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,23.0,20.0,140.0,train,False,False
BJQWBACJIAKDTJ,__ACYCLIC__BJQWBACJIAKDTJ,C16H36P+,1,260.262190668902,Tetrabutylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,BJQWBACJIAKDTJ,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
BKAWJIRCKVUVED,c1cscn1,C6H9NOS,0,144.04776137481198,4-Methyl-5-thiazoleethanol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BKAWJIRCKVUVED,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,19.0,17.0,110.0,train,False,False
BKCCAYLNRIRKDJ,c1ccc(C2=NCCN2)cc1,C9H10N2,0,147.09167478681198,2-Phenyl-2-imidazoline,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BKCCAYLNRIRKDJ,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,15.0,15.0,140.0,train,False,False
BLJRIMJGRPQVNF,c1nsnc1N1CCOCC1,C13H24N4O3S,0,317.16418809481195,Timolol,15,10;20;30;40;50;60;70;80;90;100;110;120;130;140,14,V,True,True,False,BLJRIMJGRPQVNF,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,11.0,7.0,60.0,val,False,False
BMLIZLVNXIYGCK,c1ccccc1,C9H11ClN2O,0,199.06326711881198,Monuron,14,10;20;30;40;50;60;70;80;90;100;110;130;140,13,V,True,True,False,BMLIZLVNXIYGCK,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,11.0,11.0,100.0,train,False,False
BMPDWHIDQYTSHX,c1ccc2c(c1)CCc1ccccc1N2,C15H14N2O2,0,255.11280415481198,10-Hydroxycarbamazepine,2,40,1,V,True,True,False,BMPDWHIDQYTSHX,2025-01-17,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,12.0,10.0,50.0,train,False,False
BNCADMBVWNPPIZ,c1ncncn1,C15H30N6O6,0,391.22995914681195,Hexa(methoxymethyl)melamine,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BNCADMBVWNPPIZ,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,31.0,29.0,150.0,train,False,False
BNOSHBGSJBEMGC,c1ccc(CSc2nc3ccccc3[nH]2)nc1,C17H17N3O4S,0,360.1012534908119,Omeprazole sulfide 5-carboxylic acid,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BNOSHBGSJBEMGC,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,15.0,15.0,150.0,train,False,False
BNQRPLGZFADFGA,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C25H22P+,1,354.152640220902,Benzyltriphenylphosphonium,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,True,BNQRPLGZFADFGA,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False
BNRNXUUZRGQAQC,O=c1nc(-c2cccc(S(=O)(=O)N3CCNCC3)c2)[nH]c2cn[nH]c12,C22H30N6O4S,0,475.212200906812,Sildenafil,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BNRNXUUZRGQAQC,2025-01-17,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,True,7.0,3.0,60.0,test,False,False
BOBIZYYFYLLRAH,S=c1[nH]c2ccccc2o1,C7H4ClNOS,0,185.97748889481198,5-Chloro-2-mercaptobenzoxazole,9,10;20;30;40;50;60;70;80,8,V,True,True,False,BOBIZYYFYLLRAH,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,4.0,4.0,50.0,train,False,False
BOSMZFBHAYFUBJ,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,C21H21O4P,0,369.125022248812,Tris(4-methylphenyl) phosphate,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BOSMZFBHAYFUBJ,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,36.0,28.0,150.0,train,False,False
BOUOQESVDURNSB,c1cncc(-c2nc3ccccc3[nH]2)c1,C12H9N3,0,196.08692375481198,2-(3-Pyridyl)-1H-benzimidazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BOUOQESVDURNSB,2025-01-17,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,12.0,12.0,120.0,train,False,False
BPMVRAQIQQEBLN,C=C1C=[NH+]c2ccccc2N1,C11H10N4O4,0,263.077481266812,Carbadox,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BPMVRAQIQQEBLN,2025-01-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,False,True
BQPNUOYXSVUVMY,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccc(Cc2ccc(OP(=O)(Oc3ccccc3)Oc3ccccc3)cc2)cc1,C39H34O8P2,0,693.1801677748119,Bisphenol-A bis(diphenyl phosphate),16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BQPNUOYXSVUVMY,2025-01-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,17.0,17.0,150.0,val,False,False
BQXQGZPYHWWCEB,c1ccc2c(c1)[nH]c1ccccc12,C18H22N2O2,0,299.175404410812,Carazolol,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BQXQGZPYHWWCEB,2025-01-17,True,True,True,True,True,True,False,False,False,True,True,True,False,False,True,True,16.0,16.0,150.0,train,False,False
BQYJATMQXGBDHF,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,C19H17Cl2N3O3,0,406.07197323081203,Difenoconazole,16,10;20;30;40;50;60;70;80;90;100;110;120;130;140;150,15,V,True,True,False,BQYJATMQXGBDHF,2025-01-17,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,25.0,23.0,150.0,train,False,False
