file,ACCESSION,RECORD_TITLE,AC$MASS_SPECTROMETRY,MS$FOCUSED_ION,PK$SPLASH,PK$NUM_PEAK
MSBNK-Eawag-EQ00326601.txt,MSBNK-Eawag-EQ00326601,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0uk9-2890000000-52d55f524a2a2e0d9ead,3
MSBNK-Eawag-EQ00326602.txt,MSBNK-Eawag-EQ00326602,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9200000000-92ecb09e7f37bc1c5faf,3
MSBNK-Eawag-EQ00326603.txt,MSBNK-Eawag-EQ00326603,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-243e8eaf95527c28b7f8,1
MSBNK-Eawag-EQ00326604.txt,MSBNK-Eawag-EQ00326604,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-243e8eaf95527c28b7f8,1
MSBNK-Eawag-EQ00326605.txt,MSBNK-Eawag-EQ00326605,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-243e8eaf95527c28b7f8,1
MSBNK-Eawag-EQ00326606.txt,MSBNK-Eawag-EQ00326606,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-243e8eaf95527c28b7f8,1
MSBNK-Eawag-EQ00326607.txt,MSBNK-Eawag-EQ00326607,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 120%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-d2e191b92f67a7457c3e,2
MSBNK-Eawag-EQ00326608.txt,MSBNK-Eawag-EQ00326608,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 150%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-9ca54795132538c70077,3
MSBNK-Eawag-EQ00326609.txt,MSBNK-Eawag-EQ00326609,Tris(2-chloropropyl) phosphate; LC-ESI-QFT; MS2; CE: 180%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-355,PRECURSOR_TYPE [M+H]+,splash10-0002-9000000000-f0fb5af1880fcf409253,3
MSBNK-Eawag-EQ00343301.txt,MSBNK-Eawag-EQ00343301,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-00di-0000090000-1262c8bb0b5d6aff1a0e,2
MSBNK-Eawag-EQ00343302.txt,MSBNK-Eawag-EQ00343302,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-00di-0000090000-9908b80c73b8f5a95b81,2
MSBNK-Eawag-EQ00343303.txt,MSBNK-Eawag-EQ00343303,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-00di-0000090000-096c2227ba545df961d7,5
MSBNK-Eawag-EQ00343304.txt,MSBNK-Eawag-EQ00343304,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-0kmi-9023040000-71cfd3701e67f0b2b47d,7
MSBNK-Eawag-EQ00343305.txt,MSBNK-Eawag-EQ00343305,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-0pb9-9050000000-155f3f17df1f870f0dfd,5
MSBNK-Eawag-EQ00343306.txt,MSBNK-Eawag-EQ00343306,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-0zfr-8090000000-9c70b9acd76dbcf2e447,3
MSBNK-Eawag-EQ00343307.txt,MSBNK-Eawag-EQ00343307,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 120%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-0udi-1090000000-742fe33de3bee4ac3a3f,2
MSBNK-Eawag-EQ00343308.txt,MSBNK-Eawag-EQ00343308,"N,N-Didodecyl-1-dodecanamine; LC-ESI-QFT; MS2; CE: 150%; R=15000; [M+H]+",MASS_RANGE_M/Z 55-554,PRECURSOR_TYPE [M+H]+,splash10-0udi-0090000000-8956d25b57c5632e6b4c,2
MSBNK-Eawag-EQ00348601.txt,MSBNK-Eawag-EQ00348601,Hymexazol; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-0900000000-c9ba377201713a19f6e9,1
MSBNK-Eawag-EQ00348602.txt,MSBNK-Eawag-EQ00348602,Hymexazol; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-0900000000-16e4f894e9e8ac551f1d,2
MSBNK-Eawag-EQ00348603.txt,MSBNK-Eawag-EQ00348603,Hymexazol; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-1900000000-507e8dd1e4e23fd69656,6
MSBNK-Eawag-EQ00348604.txt,MSBNK-Eawag-EQ00348604,Hymexazol; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-2900000000-f3777b67774402249a9e,10
MSBNK-Eawag-EQ00348605.txt,MSBNK-Eawag-EQ00348605,Hymexazol; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-6900000000-2c88793a544feafdd1f9,10
MSBNK-Eawag-EQ00348606.txt,MSBNK-Eawag-EQ00348606,Hymexazol; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0udi-9600000000-6764e2770b434d80e677,8
MSBNK-Eawag-EQ00348607.txt,MSBNK-Eawag-EQ00348607,Hymexazol; LC-ESI-QFT; MS2; CE: 120%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0f6x-9100000000-1abb7eb8abb7e6a42f05,7
MSBNK-Eawag-EQ00348608.txt,MSBNK-Eawag-EQ00348608,Hymexazol; LC-ESI-QFT; MS2; CE: 150%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0006-9000000000-c34007891dadb5a90a99,5
MSBNK-Eawag-EQ00348609.txt,MSBNK-Eawag-EQ00348609,Hymexazol; LC-ESI-QFT; MS2; CE: 180%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-123,PRECURSOR_TYPE [M+H]+,splash10-0006-9000000000-5eaa0094158f32052797,5
MSBNK-Eawag-EQ00354901.txt,MSBNK-Eawag-EQ00354901,Flurochloridone; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-03di-0009000000-a6302532e00961fc5d9b,1
MSBNK-Eawag-EQ00354902.txt,MSBNK-Eawag-EQ00354902,Flurochloridone; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-03di-0019000000-8f07779d2dda167d2e9b,6
MSBNK-Eawag-EQ00354903.txt,MSBNK-Eawag-EQ00354903,Flurochloridone; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-01ox-4095000000-44c5445a341af99ba112,15
MSBNK-Eawag-EQ00354904.txt,MSBNK-Eawag-EQ00354904,Flurochloridone; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-0udl-9470000000-274aa3a8c82fbf500040,18
MSBNK-Eawag-EQ00354905.txt,MSBNK-Eawag-EQ00354905,Flurochloridone; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-0udi-9830000000-e0832015bb48a95ae4dd,23
MSBNK-Eawag-EQ00354906.txt,MSBNK-Eawag-EQ00354906,Flurochloridone; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-0udj-7900000000-cec11fc471fa5bce94e9,19
MSBNK-Eawag-EQ00354907.txt,MSBNK-Eawag-EQ00354907,Flurochloridone; LC-ESI-QFT; MS2; CE: 120%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-339,PRECURSOR_TYPE [M+H]+,splash10-0f6t-5900000000-b7f6d76b517e4f1b3baf,25
MSBNK-Eawag-EQ00388901.txt,MSBNK-Eawag-EQ00388901,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-014i-0090000000-aa5c1b3eee73a6587f8a,2
MSBNK-Eawag-EQ00388902.txt,MSBNK-Eawag-EQ00388902,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-0159-1890000000-e7e3168fc208b8937463,5
MSBNK-Eawag-EQ00388903.txt,MSBNK-Eawag-EQ00388903,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-00lr-4900000000-00a26db8fb4369f339b7,5
MSBNK-Eawag-EQ00388904.txt,MSBNK-Eawag-EQ00388904,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-014i-6900000000-692817df37f7469d746a,5
MSBNK-Eawag-EQ00388905.txt,MSBNK-Eawag-EQ00388905,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-066r-7900000000-e38d450eaad705942382,7
MSBNK-Eawag-EQ00388906.txt,MSBNK-Eawag-EQ00388906,N-Cyclohexyl-2-benzothiazolesulfenamide; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-291,PRECURSOR_TYPE [M+H]+,splash10-0aor-8900000000-28fd05f2a01ba6414870,8
MSBNK-Eawag-EQ00400001.txt,MSBNK-Eawag-EQ00400001,Nitroguanidine; LC-ESI-QFT; MS2; CE: 15%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9800000000-9ab266ec6a3c643c9f9d,4
MSBNK-Eawag-EQ00400002.txt,MSBNK-Eawag-EQ00400002,Nitroguanidine; LC-ESI-QFT; MS2; CE: 30%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9100000000-b332f684cf899c656600,4
MSBNK-Eawag-EQ00400003.txt,MSBNK-Eawag-EQ00400003,Nitroguanidine; LC-ESI-QFT; MS2; CE: 45%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-159182096df540adebef,5
MSBNK-Eawag-EQ00400004.txt,MSBNK-Eawag-EQ00400004,Nitroguanidine; LC-ESI-QFT; MS2; CE: 60%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-e455a050aeaa9efe44d3,6
MSBNK-Eawag-EQ00400005.txt,MSBNK-Eawag-EQ00400005,Nitroguanidine; LC-ESI-QFT; MS2; CE: 75%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-c260faaaa389f4b78389,5
MSBNK-Eawag-EQ00400006.txt,MSBNK-Eawag-EQ00400006,Nitroguanidine; LC-ESI-QFT; MS2; CE: 90%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0a4l-9000000000-0642c176805a0a0a40e6,5
MSBNK-Eawag-EQ00400007.txt,MSBNK-Eawag-EQ00400007,Nitroguanidine; LC-ESI-QFT; MS2; CE: 120%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0006-9000000000-6834e2b8b3b47c8f24be,7
MSBNK-Eawag-EQ00400008.txt,MSBNK-Eawag-EQ00400008,Nitroguanidine; LC-ESI-QFT; MS2; CE: 150%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0006-9000000000-d462e3460326f38b12bd,6
MSBNK-Eawag-EQ00400009.txt,MSBNK-Eawag-EQ00400009,Nitroguanidine; LC-ESI-QFT; MS2; CE: 180%; R=17500; [M+H]+,MASS_RANGE_M/Z 40-128,PRECURSOR_TYPE [M+H]+,splash10-0006-9000000000-2f0b64feed9721bfab74,5
MSBNK-Eawag-EQ00435301.txt,MSBNK-Eawag-EQ00435301,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 15%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-014i-0090100000-73c3b886ea8ebb7c1464,8
MSBNK-Eawag-EQ00435302.txt,MSBNK-Eawag-EQ00435302,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 30%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-014i-0090000000-89968b90809ce7505ae3,16
MSBNK-Eawag-EQ00435303.txt,MSBNK-Eawag-EQ00435303,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 45%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-00di-0090000000-378d0392a678627544df,22
MSBNK-Eawag-EQ00435304.txt,MSBNK-Eawag-EQ00435304,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 60%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-00di-0290000000-7f281eb639c8518ec78c,27
MSBNK-Eawag-EQ00435305.txt,MSBNK-Eawag-EQ00435305,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 75%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-00dj-1790000000-3561b6c2a2638b8d9671,23
MSBNK-Eawag-EQ00435306.txt,MSBNK-Eawag-EQ00435306,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 90%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-006t-1970000000-d7941984ba833de20e1e,29
MSBNK-Eawag-EQ00435307.txt,MSBNK-Eawag-EQ00435307,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 120%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-006t-1940000000-ed80324a8c8be6177107,45
MSBNK-Eawag-EQ00435308.txt,MSBNK-Eawag-EQ00435308,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 150%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-0092-2920000000-c4f6061af6742759f8eb,45
MSBNK-Eawag-EQ00435309.txt,MSBNK-Eawag-EQ00435309,Fluvastatin Methyl Ester; LC-ESI-QFT; MS2; CE: 180%; R=17500; [M+H]+,MASS_RANGE_M/Z 50-456,PRECURSOR_TYPE [M+H]+,splash10-00bc-3910000000-e3518ec57b98d05e4cbb,37
MSBNK-Eawag-EQ01060201.txt,MSBNK-Eawag-EQ01060201,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 15%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-014i-0090000000-75a5841a741bc9881879,1
MSBNK-Eawag-EQ01060202.txt,MSBNK-Eawag-EQ01060202,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 30%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-014i-0090000000-5d99b66303be8f80186d,3
MSBNK-Eawag-EQ01060203.txt,MSBNK-Eawag-EQ01060203,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 45%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-0gb9-0290000000-c9b5742e505988c9aabb,4
MSBNK-Eawag-EQ01060204.txt,MSBNK-Eawag-EQ01060204,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 60%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-0udl-2390000000-9bf9806d48ac04f568f4,8
MSBNK-Eawag-EQ01060205.txt,MSBNK-Eawag-EQ01060205,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 75%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-0ufr-9570000000-cfee97432f51437663a0,18
MSBNK-Eawag-EQ01060206.txt,MSBNK-Eawag-EQ01060206,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 90%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-004i-9210000000-f84e0c35d0a6be198234,20
MSBNK-Eawag-EQ01060207.txt,MSBNK-Eawag-EQ01060207,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 120%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-004i-9000000000-34d3fcae9ea9ead22c2c,20
MSBNK-Eawag-EQ01060208.txt,MSBNK-Eawag-EQ01060208,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 150%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-0ufr-9000000000-a9665498de6bce2811a1,11
MSBNK-Eawag-EQ01060209.txt,MSBNK-Eawag-EQ01060209,Diphenylphosphinic Acid; LC-ESI-QFT; MS2; CE: 180%; R=17500; [M+H]+,MASS_RANGE_M/Z 48-244,PRECURSOR_TYPE [M+H]+,splash10-0udi-9000000000-ef96c025a7e175996af9,9
MSBNK-Eawag-EQ01061901.txt,MSBNK-Eawag-EQ01061901,Hexanamide; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-139,PRECURSOR_TYPE [M+H]+,splash10-014i-0900000000-f11341611c9cfa579095,1
MSBNK-Eawag-EQ01061902.txt,MSBNK-Eawag-EQ01061902,Hexanamide; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-139,PRECURSOR_TYPE [M+H]+,splash10-014i-0900000000-6402b6dba028968c5ac7,4
MSBNK-Eawag-EQ01061903.txt,MSBNK-Eawag-EQ01061903,Hexanamide; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-139,PRECURSOR_TYPE [M+H]+,splash10-014i-3900000000-0e4fee5b802e3ec24b9c,8
MSBNK-Eawag-EQ01061904.txt,MSBNK-Eawag-EQ01061904,Hexanamide; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-139,PRECURSOR_TYPE [M+H]+,splash10-01b9-9600000000-950a1a87a3fefde01780,12
MSBNK-Eawag-EQ01061905.txt,MSBNK-Eawag-EQ01061905,Hexanamide; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-139,PRECURSOR_TYPE [M+H]+,splash10-00r6-9200000000-e19d65abc3024705503e,18
MSBNK-Eawag-EQ01074901.txt,MSBNK-Eawag-EQ01074901,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-03dj-0900000000-2dfe5cf3b6aaa6969761,4
MSBNK-Eawag-EQ01074902.txt,MSBNK-Eawag-EQ01074902,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-03di-3900000000-c95483265d3fbacb9d2a,5
MSBNK-Eawag-EQ01074903.txt,MSBNK-Eawag-EQ01074903,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-02t9-9300000000-6805a5a11f6f7db60897,5
MSBNK-Eawag-EQ01074904.txt,MSBNK-Eawag-EQ01074904,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-014i-9000000000-6b0ff9eb3edce31d0d32,5
MSBNK-Eawag-EQ01074905.txt,MSBNK-Eawag-EQ01074905,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-014i-9000000000-55cf5ca96953c24e6eee,3
MSBNK-Eawag-EQ01074906.txt,MSBNK-Eawag-EQ01074906,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+",MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-014i-9000000000-6d2130046d8242512168,3
MSBNK-Eawag-EQ01074907.txt,MSBNK-Eawag-EQ01074907,2-2-4-Trimethyl-1-3-pentanediol-diisobutyrate; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-314,PRECURSOR_TYPE [M+H]+,splash10-0udi-5090000000-bd11ebd8310df4f0ac05,3
MSBNK-Eawag-EQ01107101.txt,MSBNK-Eawag-EQ01107101,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-00fr-9600000000-c9742f454472d5b176a5,3
MSBNK-Eawag-EQ01107102.txt,MSBNK-Eawag-EQ01107102,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-00di-9000000000-8fc100b8cbc75508e391,4
MSBNK-Eawag-EQ01107103.txt,MSBNK-Eawag-EQ01107103,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-00di-9000000000-18716cabdffc5c20fe80,4
MSBNK-Eawag-EQ01107104.txt,MSBNK-Eawag-EQ01107104,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 60%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-05fr-9000000000-5a216870c0a84a46907a,3
MSBNK-Eawag-EQ01107105.txt,MSBNK-Eawag-EQ01107105,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 75%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-0ab9-9000000000-cf6228f7277aef638393,3
MSBNK-Eawag-EQ01107106.txt,MSBNK-Eawag-EQ01107106,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 90%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-319da9efc938c0c7e525,5
MSBNK-Eawag-EQ01107107.txt,MSBNK-Eawag-EQ01107107,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 120%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-46d5bd3af265d91e2e66,6
MSBNK-Eawag-EQ01107108.txt,MSBNK-Eawag-EQ01107108,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 150%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-780ef0fd8284d5832de6,7
MSBNK-Eawag-EQ01107109.txt,MSBNK-Eawag-EQ01107109,tert-Butylacrylamide; LC-ESI-QFT; MS2; CE: 180%; R=15000; [M+H]+,MASS_RANGE_M/Z 40-152,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9000000000-49bf187634ee6650996e,4
MSBNK-Eawag-EQ01109401.txt,MSBNK-Eawag-EQ01109401,Ethylene glycol diglycidyl ether; LC-ESI-QFT; MS2; CE: 15%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-195,PRECURSOR_TYPE [M+H]+,splash10-0a6r-9500000000-b85efa9c8b9394ff71c8,17
MSBNK-Eawag-EQ01109402.txt,MSBNK-Eawag-EQ01109402,Ethylene glycol diglycidyl ether; LC-ESI-QFT; MS2; CE: 30%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-195,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9500000000-e8524790e78d8e9e48b1,17
MSBNK-Eawag-EQ01109403.txt,MSBNK-Eawag-EQ01109403,Ethylene glycol diglycidyl ether; LC-ESI-QFT; MS2; CE: 45%; R=15000; [M+H]+,MASS_RANGE_M/Z 50-195,PRECURSOR_TYPE [M+H]+,splash10-0a4i-9100000000-3d6631f5db68ab75badd,13
